,Caesars Entertainment Inc,,,,,
Date,Open,High,Low,Close,Volume,SIP
"12,31,2012",2.89,4.18,2.84,4.17,1041820,1.663
"11,30,2012",3.72,3.85,2.74,2.88,1223592,1.988
"10,31,2012",4.2,4.29,3.39,3.49,474838,1.835
"09,28,2012",3.64,4.67,3.2,4.21,1688813,2.114
"08,31,2012",3.6,4.09,3.31,3.64,1073236,3.437
"07,31,2012",4.79,5.26,3.57,3.6,1480235,3.974
"06,29,2012",4.95,5.72,4.51,4.75,6253216,4.9
"05,31,2012",5.08,5.2,4.24,4.98,2060769,0.778
"04,30,2012",4.9,5.36,4.49,5.09,1290623,0.163
"03,30,2012",3.62,5.24,3.36,4.91,3723937,0.17
"02,29,2012",2.45,3.82,2.45,3.59,1416862,0.105
"01,31,2012",1.88,2.76,1.86,2.44,361022,0.093
"12,30,2011",1.52,2.05,1.52,1.87,471783,0.097
"11,30,2011",1.59,1.92,1.36,1.58,963743,0.124
"10,31,2011",1.89,2,1.3,1.66,685863,0.1
"09,30,2011",2.54,2.6,1.85,1.9,135847,0.134
"08,31,2011",2.95,3.07,2.33,2.5,524800,0.221
"07,29,2011",3,3.19,2.8,2.95,946325,0.315
"06,30,2011",2.83,3.09,2.56,3.03,698724,0.111
"05,31,2011",2.66,3.24,2.65,2.83,814844,0.107
"04,29,2011",2.63,2.67,2.31,2.63,300180,0.097
"03,31,2011",2.66,2.74,2.28,2.62,543139,0.147
"02,28,2011",2.29,2.83,2.21,2.69,844296,0.104
"01,31,2011",2.05,2.7,1.98,2.26,1029962,0.078
"12,31,2010",1.98,2.16,1.96,2.03,619538,0.105
"11,30,2010",1.97,2.1,1.83,2,469957,0.137
"10,29,2010",1.77,1.97,1.52,1.93,636565,0.135
"09,30,2010",1.98,2.16,1.72,1.73,317654,0.084
"08,31,2010",2.16,2.41,1.8,1.99,735641,0.1
"07,30,2010",1.64,2.18,1.54,2.15,739230,0.12
"06,30,2010",1.82,1.95,1.3,1.62,1011045,0.104
"05,31,2010",2.09,2.25,1.76,1.86,762172,0.175
"04,30,2010",2.03,2.15,1.75,2.03,955054,0.117
"03,31,2010",1.78,2.15,1.71,2.02,1114075,0.116
"02,26,2010",1.73,1.92,1.54,1.74,481533,0.118
"01,29,2010",1.3,2.05,1.26,1.75,1714388,0.088
"12,31,2009",1.51,1.62,1.14,1.3,1501459,0.07
"11,30,2009",2.22,2.4,1.5,1.51,1379473,0.058
"10,30,2009",3.06,3.12,1.8,2.17,1032484,0.08
"09,30,2009",3.37,3.73,3,3.06,1145330,0.162
"08,31,2009",3.74,3.96,3.09,3.36,1053920,0.189
"07,31,2009",2.45,4.15,2.2,3.68,2700068,0.3
"06,30,2009",1.77,3.03,1.6,2.5,1478679,0.235
"05,29,2009",2,2.5,1.43,1.68,1946951,0.594
