,Nasdaq Composite,,,,
Date,Open,High,Low,Close,Volume
"04,30,2013",3268.62988,3328.79004,3154.95996,3328.79004,
"03,29,2013",3143.54004,3270.30005,3129.3999,3267.52002,
"02,28,2013",3162.93994,3213.6001,3105.36011,3160.18994,
"01,31,2013",3091.33008,3164.06006,3076.6001,3142.12988,
"12,31,2012",3029.20996,3061.82007,2951.04004,3019.51001,
"11,30,2012",2987.54004,3033.8501,2810.80005,3010.23999,
"10,31,2012",3130.31006,3171.45996,2961.15991,2977.22998,
"09,28,2012",3063.25,3196.92993,3040.23999,3116.22998,
"08,31,2012",2956.71997,3100.54004,2890.8501,3066.95996,
"07,31,2012",2938.40991,2987.93994,2837.71997,2939.52002,
"06,29,2012",2810.12988,2942.28003,2726.67993,2935.05005,
"05,31,2012",3044.79004,3085.3999,2774.44995,2827.34009,
"04,30,2012",3085.93994,3128.25,2946.04004,3046.36011,
"03,30,2012",2979.11011,3134.16992,2900.28003,3091.57007,
"02,29,2012",2830.1001,3000.11011,2825.18994,2966.88989,
"01,31,2012",2657.38989,2834.30005,2627.22998,2813.84009,
"12,30,2011",2615.66992,2674.53003,2518.01001,2605.1499,
"11,30,2011",2607.31006,2730.38989,2441.47998,2620.34009,
"10,31,2011",2401.18994,2753.37012,2298.88989,2684.40991,
"09,30,2011",2583.34009,2643.37012,2414.31006,2415.3999,
"08,31,2011",2791.44995,2796.23999,2331.6499,2579.45996,
"07,29,2011",2775.08008,2878.93994,2724.98999,2756.37988,
"06,30,2011",2829.38989,2834.05005,2599.86011,2773.52002,
"05,31,2011",2881.28003,2887.75,2739.8501,2835.30005,
"04,29,2011",2796.66992,2876.83008,2706.5,2873.54004,
"03,31,2011",2791.08008,2802.32007,2603.5,2781.07007,
"02,28,2011",2751.18994,2840.51001,2705.54004,2782.27002,
"01,31,2011",2676.6499,2766.16992,2663.63989,2700.08008,
"12,31,2010",2535.18994,2675.26001,2535.18994,2652.87012,
"11,30,2010",2520.44995,2592.93994,2459.79004,2498.22998,
"10,29,2010",2386.82007,2517.5,2332.45996,2507.40991,
"09,30,2010",2142.75,2400.06006,2141.94995,2368.62012,
"08,31,2010",2283.32007,2309.42993,2099.29004,2114.03003,
"07,30,2010",2110.75,2307.6001,2061.13989,2254.69995,
"06,30,2010",2244.79004,2341.11011,2105.26001,2109.23999,
"05,31,2010",2472.32007,2503,2140.53003,2257.04004,
"04,30,2010",2411.67993,2535.28003,2383.77002,2461.18994,
"03,31,2010",2247.3999,2432.25,2247.33008,2397.95996,
"02,26,2010",2155.81006,2251.67993,2100.16992,2238.26001,
"01,29,2010",2294.40991,2326.28003,2140.34009,2147.3501,
"12,31,2009",2162.22998,2295.80005,2155.95996,2269.1499,
"11,30,2009",2047.42004,2205.32007,2024.27002,2144.6001,
"10,30,2009",2111.77002,2190.63989,2040.20996,2045.10999,
"09,30,2009",2001.30005,2167.69995,1958.04004,2122.41992,
"08,31,2009",1998.34998,2059.47998,1929.64001,2009.06006,
"07,31,2009",1846.12,2009.81006,1727.05005,1978.5,
"06,30,2009",1796.08997,1879.92004,1753.78003,1835.04004,
"05,29,2009",1719.06995,1774.32996,1664.18994,1774.32996,
"04,30,2009",1505.89001,1753.60999,1498.54004,1717.30005,
"03,31,2009",1355.34998,1587,1265.52002,1528.58997,
"02,27,2009",1462.67004,1598.5,1372.42004,1377.83997,
"01,30,2009",1579.18994,1665.63,1434.07996,1476.42004,
"12,31,2008",1496.08997,1602.92004,1398.06995,1577.03003,
"11,28,2008",1720.76001,1785.83997,1295.47998,1535.56995,
"10,31,2008",2076.93994,2083.19995,1493,1720.94995,
"09,30,2008",2403.23999,2413.11011,1983.72998,2091.87988,
"08,29,2008",2331.5,2473.19995,2280.92993,2367.52002,
"07,31,2008",2270.26001,2353.38989,2167.29004,2325.55005,
"06,30,2008",2516.12012,2549.93994,2290.59009,2292.97998,
"05,30,2008",2416.3999,2551.46997,2416.48999,2522.65991,
"04,30,2008",2309.44995,2451.18994,2266.29004,2412.80005,
"03,31,2008",2268.31006,2346.78003,2155.41992,2279.1001,
"02,29,2008",2397.07007,2419.22998,2252.6499,2271.47998,
"01,31,2008",2653.23999,2661.5,2202.54004,2389.86011,
"12,31,2007",2657.67993,2734.82007,2553.98999,2652.28003,
"11,30,2007",2833.01001,2835.62988,2539.81006,2660.95996,
"10,31,2007",2704.34009,2861.51001,2698.13989,2859.12012,
"09,28,2007",2596.44995,2716.75,2536.92993,2701.5,
"08,31,2007",2540.05005,2627.75,2386.68994,2596.36011,
"07,31,2007",2615.58008,2724.73999,2545.8999,2546.27002,
"06,29,2007",2614.26001,2634.6001,2534.96997,2603.22998,
"05,31,2007",2416.48999,2607.8999,2416.48999,2604.52002,
"04,30,2007",2425.3501,2562.98999,2409.04004,2525.09009,
"03,30,2007",2376.79004,2459.95996,2331.57007,2421.63989,
"02,28,2007",2474.38989,2531.41992,2395.3501,2416.1499,
"01,31,2007",2427.6001,2508.92993,2394.65991,2463.92993,
"12,29,2006",2430.72998,2470.94995,2392.94995,2415.29004,
"11,30,2006",2374.12012,2468.41992,2316.82007,2431.77002,
"10,31,2006",2256.5,2379.29004,2224.20996,2366.70996,
"09,29,2006",2194.87988,2273.30005,2147.43994,2258.42993,
"08,31,2006",2079.09009,2193.34009,2048.21997,2183.75,
"07,31,2006",2177.73999,2190.43994,2012.78003,2091.46997,
"06,30,2006",2180.32007,2233.87988,2065.11011,2172.09009,
"05,31,2006",2328.41992,2352.56006,2135.81006,2178.87988,
"04,28,2006",2352.3999,2375.54004,2299.41992,2322.57007,
"03,31,2006",2288.84009,2353.13989,2239.54004,2339.79004,
"02,28,2006",2293.3999,2313.53003,2232.67993,2281.38989,
"01,31,2006",2216.6001,2332.91992,2189.90991,2305.82007,
"12,30,2005",2244.67993,2278.15991,2200.51001,2205.32007,
"11,30,2005",2108.83008,2269.30005,2108.86011,2232.82007,
"10,31,2005",2151.73999,2167,2025.57996,2120.30005,
"09,30,2005",2149.03003,2186.83008,2093.06006,2151.68994,
"08,31,2005",2191.1001,2219.90991,2112.25,2152.09009,
"07,29,2005",2061.12988,2201.38989,2050.30005,2184.83008,
"06,30,2005",2067.6499,2106.57007,2039.68994,2056.95996,
"05,31,2005",1923.22998,2076.80005,1916.03003,2068.21997,
"04,29,2005",2009.08997,2021.81995,1889.82996,1921.65002,
"03,31,2005",2057.46997,2100.57007,1968.57996,1999.22998,
"02,28,2005",2063.27002,2103.44995,2023,2051.71997,
"01,31,2005",2184.75,2191.6001,2008.68005,2062.40991,
"12,31,2004",2104.58008,2185.56006,2097.86011,2175.43994,
"11,30,2004",1975.47998,2117.88989,1969.31995,2096.81006,
"10,29,2004",1909.58997,1984.18005,1899.32996,1974.98999,
"09,30,2004",1833.37,1925.84998,1833.32996,1896.83997,
"08,31,2004",1874.93005,1893.13,1750.81995,1838.09998,
"07,30,2004",2045.53003,2045.53003,1829.06006,1887.35999,
"06,30,2004",1978.52002,2055.6499,1960.26001,2047.79004,
"05,31,2004",1928.71997,1991.87,1865.40002,1986.73999,
"04,30,2004",1996.44995,2079.12012,1919.39001,1920.15002,
"03,31,2004",2036.92004,2069.02002,1896.91003,1994.21997,
"02,27,2004",2072.12988,2094.91992,1991.05005,2029.81995,
"01,30,2004",2011.07996,2153.83008,1999.77002,2066.1499,
"12,31,2003",1972.96997,2015.22998,1887.45996,2003.37,
"11,28,2003",1941.31006,1992.27002,1878.06995,1960.26001,
"10,31,2003",1797.06995,1966.87,1796.08997,1932.20996,
"09,30,2003",1817.92004,1913.73999,1783.45996,1786.93994,
"08,29,2003",1731.63,1813.81995,1640.88,1810.44995,
"07,31,2003",1617.30005,1776.09998,1598.92004,1735.02002,
"06,30,2003",1612.09998,1686.09998,1584.69995,1622.80005,
"05,30,2003",1463,1599.92004,1451.31995,1595.91003,
"04,30,2003",1347.54004,1482.48999,1338.22998,1464.31006,
"03,31,2003",1344.20996,1425.72998,1253.21997,1341.17004,
"02,28,2003",1324.73999,1352.06995,1261.79004,1337.52002,
"01,31,2003",1346.93005,1467.34998,1303.64001,1320.91003,
"12,31,2002",1507.93994,1521.43994,1327.18994,1335.51001,
"11,29,2002",1320.94995,1497.43994,1313.71997,1478.78003,
"10,31,2002",1180.26001,1347.57996,1108.48999,1329.75,
"09,30,2002",1302.67004,1347.27002,1160.06995,1172.06006,
"08,30,2002",1322.46997,1426.76001,1205.68005,1314.84998,
"07,31,2002",1457.04004,1459.83997,1192.42004,1328.26001,
"06,28,2002",1613.5,1621.5,1375.53003,1463.20996,
"05,31,2002",1683.76001,1759.32996,1560.29004,1615.72998,
"04,30,2002",1834.58997,1865.37,1640.96997,1688.22998,
"03,29,2002",1745.48999,1946.22998,1742.07996,1845.34998,
"02,28,2002",1928.82996,1942.15002,1696.55005,1731.48999,
"01,31,2002",1965.18005,2098.87988,1851.48999,1934.03003,
"12,31,2001",1915.13,2065.68994,1898.97998,1950.40002,
"11,30,2001",1705.52002,1965.08997,1683.98999,1930.57996,
"10,31,2001",1491.44995,1792.87,1458.41003,1690.19995,
"09,28,2001",1802.29004,1836.18994,1387.06006,1498.80005,
"08,31,2001",2051.56006,2103.15991,1777.10999,1805.43005,
"07,31,2001",2156.76001,2181.05005,1934.67004,2027.13,
"06,29,2001",2131.12012,2264.58008,1973.69995,2161.23999,
"05,31,2001",2116.23999,2328.05005,2052.40991,2110.48999,
"04,30,2001",1835.21997,2202.86011,1619.57996,2116.23999,
"03,30,2001",2126.30005,2243.78003,1794.20996,1840.26001,
"02,28,2001",2771.57007,2796.88989,2127.5,2151.83008,
"01,31,2001",2474.15991,2892.36011,2251.70996,2772.72998,
"12,29,2000",2644.09009,3028.75,2288.15991,2470.52002,
"11,30,2000",3316.5,3480,2523.04004,2597.92993,
"10,31,2000",3714.3999,3714.3999,3026.1001,3369.6001,
"09,29,2000",4252.1001,4259.7998,3614.6001,3672.80005,
"08,31,2000",3760.8999,4208.7002,3521.1001,4206.2998,
