,Select Sector Spdr Trust (The) (Financial),,,,
Date,Open,High,Low,Close,Volume
"02,29,2012",11.51,12.15,11.51,11.99,1590189696
"01,31,2012",10.78,11.64,10.65,11.41,1872577152
"12,30,2011",10.35,10.86,9.91,10.56,1997217536
"11,30,2011",10.42,11.08,9.53,10.4,2592027648
"10,31,2011",9.52,11.51,8.89,10.96,3586145792
"09,30,2011",10.86,10.9,9.21,9.59,2839758336
"08,31,2011",12.2,12.2,9.59,10.86,4101773568
"07,29,2011",12.44,12.75,11.76,12.01,2116394112
"06,30,2011",12.81,12.82,11.87,12.46,2524509184
"05,31,2011",13.35,13.37,12.5,12.86,1719239296
"04,29,2011",13.4,13.6,12.85,13.3,1313512704
"03,31,2011",13.72,13.72,12.82,13.31,2284866560
"02,28,2011",13.4,13.97,13.27,13.68,1339611904
"01,31,2011",13.13,13.61,13.01,13.32,2001204480
"12,31,2010",11.91,13.04,11.88,12.95,1679350144
"11,30,2010",11.85,12.73,11.66,11.74,2341489152
"10,29,2010",11.77,12.18,11.57,11.82,2169443840
"09,30,2010",11.15,12.16,11.14,11.65,1948353408
"08,31,2010",12.11,12.25,10.79,11.01,1939130880
"07,30,2010",11.2,12.2,10.84,11.94,2221772032
"06,30,2010",11.79,12.22,11.12,11.21,2776093440
"05,31,2010",13.24,13.41,11.24,11.92,4196319232
"04,30,2010",13.06,13.9,12.93,13.12,3286711296
"03,31,2010",11.96,13.25,11.88,12.95,2191014912
"02,26,2010",11.59,11.96,10.97,11.92,2640442624
"01,29,2010",11.79,12.51,11.36,11.51,2851199488
"12,31,2009",11.99,12.13,11.38,11.69,1960955392
"11,30,2009",11.5,12.29,11.19,11.9,2171113472
"10,30,2009",12.07,12.8,11.34,11.41,2837887488
"09,30,2009",11.85,12.54,11.16,12.13,2634234880
"08,31,2009",10.76,12.1,10.69,11.94,2965340672
"07,31,2009",9.72,10.58,8.79,10.56,3266514688
"06,30,2009",10.06,10.29,9.18,9.7,3611706368
"05,29,2009",8.72,10.62,8.57,9.93,4742920704
"04,30,2009",6.95,9.2,6.93,8.71,5405221888
"03,31,2009",5.94,7.88,4.77,7.15,7845408768
"02,27,2009",7.31,8.19,5.56,6.17,5757208064
"01,30,2009",10.17,10.41,6.55,7.5,4552867840
"12,31,2008",9.88,11.22,8.48,10.17,3688235776
"11,28,2008",12.58,13.42,7.04,10.28,4445887488
"10,31,2008",16.13,16.81,10.39,12.61,6935081472
"09,30,2008",17.83,19.89,13.93,16.15,7911696384
"08,29,2008",17.57,18.48,15.92,17.39,3985287936
"07,31,2008",16.18,18.75,13.62,17.56,7094654464
"06,30,2008",20.06,20.06,16.29,16.45,3927939072
"05,30,2008",21.55,22.87,19.72,20.11,2175421184
"04,30,2008",20.92,22.06,19.79,21.61,2703744512
"03,31,2008",20.84,22.23,18.1,20.2,4265082112
"02,29,2008",23.55,24.1,20.8,20.97,2721303040
"01,31,2008",23.61,24.3,19.58,23.66,3715327744
"12,31,2007",25.04,26.1,23.2,23.49,1931689088
"11,30,2007",26.59,27.16,22.82,25.17,2901930240
"10,31,2007",27.71,29.21,26.07,27.39,1581542784
"09,28,2007",27.48,28.96,26.43,27.87,1225736832
"08,31,2007",26.87,29.92,25.59,27.41,2339172608
"07,31,2007",29.79,30.25,26.72,26.72,1183505408
"06,29,2007",30.82,30.93,29.07,29.38,536986304
"05,31,2007",30.04,30.98,29.86,30.78,334956448
"04,30,2007",28.91,30.39,28.52,30.05,329652672
"03,30,2007",28.83,29.7,27.75,28.93,529158720
"02,28,2007",30.19,30.85,28.36,29.19,264931120
"01,31,2007",30.01,30.3,29.46,30.11,152224496
