,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"06,28,2013",82.48,84.34,80.64,82.8,28104600,3.393
"05,31,2013",75.45,84.06,75.32,82.39,40617976,3.2
"04,30,2013",70.1,75.78,69.13,75.74,39658840,3.864
"03,29,2013",65.39,70.21,64.2,70.15,35673220,2.765
"02,28,2013",65.28,66.95,64.35,65.68,34533604,4.77
"01,31,2013",68.79,69.61,64.95,65.04,42400840,4.609
"12,31,2012",66.92,69.17,65.5,67.58,30098540,4.264
"11,30,2012",68.83,70.84,62.8,66.7,38058604,3.751
"10,31,2012",66.6,71.25,66.4,68.69,29807904,3.327
"09,28,2012",66.89,68.27,65.45,66.43,30555172,2.949
"08,31,2012",66.39,70.2,64.73,66.89,33942496,3.043
"07,31,2012",63.85,66.8,61.86,66.2,30484658,3.302
"06,29,2012",58.15,63.8,56.59,63.79,35056464,3.308
"05,31,2012",63.37,63.8,57.61,58.75,34528352,3.529
"04,30,2012",61.19,65.78,59.51,63.28,33798800,3.169
"03,30,2012",60.42,62.31,59.44,61.08,35563956,3.575
"02,29,2012",58.33,60.78,57.88,59.81,34518592,3.712
"01,31,2012",59.42,61.86,57.31,58.05,36926292,4.298
"12,30,2011",56.86,59.15,55,58.48,36929160,4.556
"11,30,2011",56.26,59.83,52.69,57.07,47137388,5.142
"10,31,2011",51.74,58.71,50.13,57.75,52852584,5.574
"09,30,2011",54.65,55.34,49.97,52.17,54709348,5.315
"08,31,2011",59.62,60.17,49.2,54.62,98258384,4.525
"07,29,2011",69.59,70.61,59.58,60.51,62091184,6.737
"06,30,2011",65,69.9,62.5,69.35,49043380,8.464
"05,31,2011",63.92,65.79,63.38,65.29,45694696,9.428
"04,29,2011",62.81,64,59.87,63.61,39962344,2.955
"03,31,2011",60.79,63.44,58.21,62.71,52202752,2.854
"02,28,2011",63.29,65.77,59.56,60.49,35450480,3.558
"01,31,2011",59.1,63.82,58.69,62.87,41406960,3.585
"12,31,2010",56.88,59.34,56.72,58.77,39073708,3.977
"11,30,2010",57.48,59.58,54.73,55.95,33616908,3.101
"10,29,2010",55.56,57.36,54.29,57.35,46964920,2.988
"09,30,2010",49.8,56.01,49.46,55,48861428,2.863
"08,31,2010",53.96,54.66,48.54,49.1,50842100,2.31
"07,30,2010",49.29,54.43,48.53,53.2,52871540,2.004
"06,30,2010",54.58,57.21,49.32,49.39,52885108,1.642
"05,31,2010",61.89,62.94,53.12,54.88,47780632,1.516
"04,30,2010",59.92,63.32,58.64,61.53,39344692,1.62
"03,31,2010",55.56,59.92,55.47,59.48,49508592,1.85
"02,26,2010",51.6,56.45,51.31,55.57,55983412,2.291
"01,29,2010",50.89,54.28,50.17,51.35,43872008,1.539
"12,31,2009",49.81,51.99,48.9,50.67,44236348,1.208
"11,30,2009",45.59,51.22,45.02,49.71,47153532,1.466
